3.839285714285714524e-01,3.617063881165593076e-01,8.937550918042266312e-01,5.000000000000000240e-05
3.660714285714285476e-01,4.487696956459543141e-01,9.085009031613867636e-01,5.000000000000000240e-05
3.750000000000000000e-01,4.324274778453999213e-01,9.181206669014932986e-01,5.000000000000000240e-05
4.017857142857143016e-01,4.690359862375584332e-01,9.200665322397182377e-01,5.000000000000000240e-05
3.660714285714285476e-01,4.592172259090944175e-01,9.235595644840820517e-01,5.000000000000000240e-05
3.928571428571428492e-01,4.548518460915992878e-01,9.150259618208043122e-01,5.000000000000000240e-05
4.196428571428571508e-01,5.051250800712377975e-01,9.245046991483778509e-01,5.000000000000000240e-05
4.107142857142856984e-01,4.745004537245830489e-01,9.263435642994073405e-01,5.000000000000000240e-05
4.732142857142856984e-01,5.283860573911095537e-01,9.358512261577379698e-01,5.000000000000000240e-05
4.285714285714285476e-01,5.487866267163415968e-01,9.432573774690956592e-01,5.000000000000000240e-05
4.464285714285714524e-01,5.788914680382207800e-01,9.513051575987792052e-01,5.000000000000000240e-05
4.553571428571428492e-01,5.974323367286323849e-01,9.515456838616938029e-01,5.000000000000000240e-05
4.375000000000000000e-01,5.784309646268217531e-01,9.570737264665171162e-01,5.000000000000000240e-05
4.285714285714285476e-01,5.588636411525575998e-01,9.519916661872868113e-01,5.000000000000000240e-05
4.732142857142856984e-01,6.231687359127354719e-01,9.576968965787768795e-01,5.000000000000000240e-05
4.821428571428571508e-01,5.823098784130829042e-01,9.550991939310222723e-01,5.000000000000000240e-05
4.732142857142856984e-01,5.853843046691421526e-01,9.579816544635108011e-01,5.000000000000000240e-05
4.821428571428571508e-01,6.074237698233824201e-01,9.576425206530544409e-01,5.000000000000000240e-05
5.000000000000000000e-01,6.207994872246292983e-01,9.585848277728590272e-01,5.000000000000000240e-05
4.642857142857143016e-01,5.821714931795608505e-01,9.577223017345735112e-01,5.000000000000000240e-05
4.553571428571428492e-01,5.530243506188871061e-01,9.538500496517564597e-01,5.000000000000000240e-05
4.464285714285714524e-01,6.004091730216982725e-01,9.610924514291417919e-01,5.000000000000000240e-05
4.642857142857143016e-01,6.404393967657694420e-01,9.631187117007683485e-01,5.000000000000000240e-05
5.178571428571429047e-01,6.626226763369285067e-01,9.637467373747042876e-01,5.000000000000000240e-05
4.821428571428571508e-01,5.931864841502798580e-01,9.582664957442317277e-01,5.000000000000000240e-05
5.089285714285713969e-01,6.085082521762582575e-01,9.585550435533292113e-01,5.000000000000000240e-05
5.625000000000000000e-01,6.675379700336954159e-01,9.605308850148304156e-01,5.000000000000000240e-05
5.446428571428570953e-01,7.003175420773596338e-01,9.685244359517850565e-01,5.000000000000000240e-05
5.535714285714286031e-01,6.934467263204175946e-01,9.674813941133660888e-01,5.000000000000000240e-05
5.357142857142856984e-01,6.467823558865123390e-01,9.649471623664104269e-01,5.000000000000000240e-05
5.535714285714286031e-01,6.775529871895431544e-01,9.648055820450345266e-01,5.000000000000000240e-05
6.339285714285713969e-01,7.457053812434013551e-01,9.722015430241750522e-01,5.000000000000000240e-05
5.892857142857143016e-01,7.223486348562708770e-01,9.705604241587257874e-01,5.000000000000000240e-05
6.696428571428570953e-01,7.566153598370730649e-01,9.746355335807271869e-01,5.000000000000000240e-05
6.875000000000000000e-01,7.429177736527715625e-01,9.708202363467617335e-01,5.000000000000000240e-05
6.428571428571429047e-01,7.601555633163407100e-01,9.736661758228127850e-01,5.000000000000000240e-05
5.714285714285713969e-01,6.460519685680651270e-01,9.635652827868061987e-01,5.000000000000000240e-05
6.696428571428570953e-01,7.216435459971083377e-01,9.713124621177523510e-01,5.000000000000000240e-05
6.071428571428570953e-01,6.991667040666822430e-01,9.693515027519853389e-01,5.000000000000000240e-05
6.428571428571429047e-01,7.310842656008489371e-01,9.685588946938559207e-01,5.000000000000000240e-05
5.892857142857143016e-01,7.435769031698333809e-01,9.708301531063353584e-01,5.000000000000000240e-05
5.982142857142856984e-01,7.140930740039406199e-01,9.640603211613153478e-01,5.000000000000000240e-05
6.517857142857143016e-01,7.588554235775466505e-01,9.752257768656840131e-01,5.000000000000000240e-05
6.339285714285713969e-01,7.363566707749882312e-01,9.717276121843170245e-01,5.000000000000000240e-05
6.607142857142856984e-01,7.544620595802202789e-01,9.746833400739832731e-01,5.000000000000000240e-05
6.517857142857143016e-01,7.667978684986156424e-01,9.723237567424799499e-01,5.000000000000000240e-05
6.250000000000000000e-01,7.408510045346637929e-01,9.769755591679842865e-01,5.000000000000000240e-05
6.428571428571429047e-01,7.527267138651779765e-01,9.761962490222433342e-01,5.000000000000000240e-05
6.696428571428570953e-01,7.616427407653549864e-01,9.696795106889910532e-01,5.000000000000000240e-05
6.785714285714286031e-01,7.682709922863508734e-01,9.679495486395620629e-01,5.000000000000000240e-05
6.517857142857143016e-01,7.923462868584296714e-01,9.786439272033474746e-01,5.000000000000000240e-05
6.696428571428570953e-01,7.713106939339408052e-01,9.766582121239343328e-01,5.000000000000000240e-05
6.964285714285713969e-01,7.640673448117381028e-01,9.713715289911226680e-01,5.000000000000000240e-05
6.696428571428570953e-01,7.729148079350659506e-01,9.776600181665806577e-01,5.000000000000000240e-05
6.428571428571429047e-01,7.486678920130936943e-01,9.757586488988559958e-01,5.000000000000000240e-05
6.696428571428570953e-01,7.744724274532460706e-01,9.689477273946593971e-01,5.000000000000000240e-05
6.964285714285713969e-01,7.559013811356721790e-01,9.704505150980349271e-01,5.000000000000000240e-05
6.696428571428570953e-01,7.231999273070173206e-01,9.613241873715355768e-01,5.000000000000000240e-05
6.517857142857143016e-01,7.877801392518344326e-01,9.788721869364799266e-01,5.000000000000000240e-05
7.053571428571429047e-01,7.949396492275688786e-01,9.781953206185516336e-01,5.000000000000000240e-05
7.410714285714286031e-01,8.191855934755594149e-01,9.817480645046341436e-01,2.500000000000000120e-05
6.964285714285713969e-01,8.038960810540302093e-01,9.727679572379785977e-01,2.500000000000000120e-05
6.696428571428570953e-01,7.728532977587102559e-01,9.688186294959526546e-01,2.500000000000000120e-05
7.053571428571429047e-01,8.118350436348700239e-01,9.772044649098647895e-01,2.500000000000000120e-05
7.232142857142856984e-01,7.916635129822792161e-01,9.775619069764479585e-01,2.500000000000000120e-05
7.053571428571429047e-01,8.009721486902251497e-01,9.810802621292581405e-01,2.500000000000000120e-05
7.232142857142856984e-01,7.723614634730672224e-01,9.693536500441306547e-01,2.500000000000000120e-05
7.500000000000000000e-01,7.995995260301377305e-01,9.636034320027663247e-01,2.500000000000000120e-05
6.607142857142856984e-01,7.799024381441604925e-01,9.682567770112671113e-01,2.500000000000000120e-05
7.053571428571429047e-01,8.370237249176692984e-01,9.750503718612709703e-01,2.500000000000000120e-05
6.785714285714286031e-01,7.495610485833166248e-01,9.646826448997780634e-01,2.500000000000000120e-05
7.589285714285713969e-01,7.974490895399514168e-01,9.613989505039155503e-01,2.500000000000000120e-05
7.321428571428570953e-01,7.678076569149135944e-01,9.504365777078306321e-01,2.500000000000000120e-05
7.232142857142856984e-01,7.957428136339547153e-01,9.684578709382398731e-01,2.500000000000000120e-05
7.589285714285713969e-01,8.668111591919283043e-01,9.842099446530758744e-01,2.500000000000000120e-05
6.875000000000000000e-01,7.875133624241831276e-01,9.690092932960819860e-01,2.500000000000000120e-05
7.767857142857143016e-01,8.080441260941998438e-01,9.520361230377231143e-01,2.500000000000000120e-05
7.410714285714286031e-01,8.487935396058249315e-01,9.718544501665421498e-01,2.500000000000000120e-05
6.785714285714286031e-01,7.734896268230396776e-01,9.614811074751979936e-01,2.500000000000000120e-05
7.232142857142856984e-01,7.765603467019169814e-01,9.640929775081883424e-01,2.500000000000000120e-05
7.142857142857143016e-01,7.910733729332175557e-01,9.663277638442504536e-01,2.500000000000000120e-05
7.500000000000000000e-01,8.159420273582326244e-01,9.628063171829533973e-01,2.500000000000000120e-05
6.964285714285713969e-01,7.604215969111097762e-01,9.572031385448297458e-01,2.500000000000000120e-05
7.053571428571429047e-01,7.837273009310836702e-01,9.564409562509519347e-01,2.500000000000000120e-05
7.232142857142856984e-01,8.383367498967595477e-01,9.759537897001965279e-01,2.500000000000000120e-05
7.589285714285713969e-01,8.174104399423945955e-01,9.734461276254985362e-01,2.500000000000000120e-05
6.875000000000000000e-01,8.165582018931932806e-01,9.706243304796073890e-01,2.500000000000000120e-05
7.500000000000000000e-01,8.441020550088268459e-01,9.727241848541539060e-01,2.500000000000000120e-05
6.875000000000000000e-01,8.000865285341575150e-01,9.716406383598251706e-01,2.500000000000000120e-05
7.767857142857143016e-01,8.128629897497144929e-01,9.588060267023443828e-01,2.500000000000000120e-05
6.696428571428570953e-01,7.956588101544649350e-01,9.678668592111639990e-01,2.500000000000000120e-05
7.321428571428570953e-01,7.957810109069498594e-01,9.522678803139381642e-01,2.500000000000000120e-05
7.500000000000000000e-01,8.271846120843788785e-01,9.744172523668808150e-01,2.500000000000000120e-05
7.589285714285713969e-01,7.875996319863259876e-01,9.692918431557370207e-01,2.500000000000000120e-05
7.142857142857143016e-01,7.991761572511102418e-01,9.751918031194347636e-01,2.500000000000000120e-05
7.053571428571429047e-01,7.776232551219165456e-01,9.576593581418106904e-01,2.500000000000000120e-05
7.142857142857143016e-01,8.097297326242597348e-01,9.712202654782712274e-01,2.500000000000000120e-05
7.232142857142856984e-01,8.096584320511363009e-01,9.772116102582153463e-01,2.500000000000000120e-05
6.696428571428570953e-01,7.442992626685083213e-01,9.701794426764507318e-01,2.500000000000000120e-05
7.232142857142856984e-01,8.366603216305070756e-01,9.666838648101032661e-01,2.500000000000000120e-05
7.321428571428570953e-01,7.816077313930683834e-01,9.657977869986912323e-01,2.500000000000000120e-05
7.410714285714286031e-01,8.036850170407878746e-01,9.703976931097519909e-01,2.500000000000000120e-05
6.517857142857143016e-01,7.102639176846959890e-01,9.376835285345073157e-01,2.500000000000000120e-05
7.410714285714286031e-01,8.333464078086473270e-01,9.780773511412369503e-01,2.500000000000000120e-05
